Hebrew name,Population,English name
בסמת טבעון,7915,Basmat Tab'un
בענה,8381,Bi'ne
בצרה,1212,Bazra
בצת,295,Bezet
בקוע,786,Beqoa
בקעות,181,Beqa'ot
בר גיורא,674,Bar Giyyora
בר יוחאי,1072,Bar Yohay
ברוכין,1165,Brukhin
ברור חיל,953,Beror Hayil
ברוש,564,Berosh
ברכה,2757,Berakha
ברכיה,1274,Berekhya
ברעם,594,Bar'am
ברק,411,Baraq
ברקאי,553,Barqay
ברקן,1895,Barqan
ברקת,2081,Bareqet
בת הדר,760,Bat Hadar
בת חן,412,Bat Hen
בת חפר,5300,Bat Hefer
בת ים,129012,Bat Yam
בת עין,1568,Bat Ayin
בת שלמה,656,Bat Shelomo
ג'דיידה-מכר,21163,Judeide-Maker
ג'ולס,6466,Julis
ג'לג'וליה,10148,Jaljulye
ג'סר א-זרקא,14930,Jisr Az-Zarqa
ג'ש (גוש חלב),3105,Jish(Gush Halav)
ג'ת,12100,Jatt                                              
גאולי תימן,360,Ge'ule Teman
גאולים,968,Ge'ulim
גאליה,974,Ge'alya
גבולות,358,Gevulot
גבים,621,Gevim
גבע,618,Geva
גבע בנימין,5682,Geva Binyamin
גבע כרמל,1200,Geva  Karmel
גבעולים,386,Giv'olim
גבעון החדשה,1066,Giv'on HaHadasha
גבעות בר,1231,Geva'ot Bar
גבעת אבני,2049,Giv'at Avni
גבעת אלה,1965,Giv'at Ela
גבעת ברנר,2679,Giv'at Brenner
גבעת השלושה,869,Giv'at HaShelosha
גבעת זאב,18420,Giv'at Ze'ev
"גבעת ח""ן",374,Giv'at Hen
גבעת חיים (איחוד),1176,Giv'at Hayyim (Ihud)
גבעת חיים (מאוחד),1019,Giv'at Hayyim(Me'uhad)
גבעת יואב,707,Giv'at Yo'av
גבעת יערים,1454,Giv'at Ye'arim
גבעת ישעיהו,824,Giv'at Yesha'yahu
"גבעת כ""ח",903,Giv'at Koah
"גבעת ניל""י",731,Giv'at Nili
גבעת עוז,464,Giv'at Oz
גבעת שמואל,26578,Giv'at Shemu'el
גבעת שמש,63,Giv'at Shemesh
גבעת שפירא,410,Giv'at Shappira
גבעתי,1047,Giv'ati
גבעתיים,60643,Giv'atayim
גברעם,467,Gevar'am
גבת,932,Gevat
גדות,434,Gadot
גדיש,397,Gadish
גדעונה,470,Gid'ona
גדרה,28314,Gedera
גונן,364,Gonen
גורן,426,Goren
גורנות הגליל,177,Gornot HaGalil
גזית,743,Gazit
גזר,288,Gezer
גיאה,969,Ge'a
גיבתון,369,Gibbeton
גיזו,207,Gizo
גילון,1093,Gilon
גילת,1451,Gilat
גינוסר,585,Ginnosar
גיניגר,703,Ginnegar
גינתון,919,Ginnaton
גיתה,291,Gitta
גיתית,505,Gittit
גלאון,582,Gal'on
גלגל,203,Gilgal
גליל ים,533,Gelil Yam
גלעד (אבן יצחק),493,Gal'ed (Even Yizhaq)
גמזו,1206,Gimzo
גן הדרום,636,Gan HaDarom
גן השומרון,861,Gan HaShomeron
גן חיים,816,Gan Hayyim
גן יאשיה,997,Gan Yoshiyya
גן יבנה,23869,Gan Yavne
גן נר,2671,Gan Ner
גן שורק,694,Gan Soreq
גן שלמה,579,Gan Shelomo
גן שמואל,933,Gan Shemu'el
גנות,588,Gannot
גנות הדר,971,Gannot Hadar
גני הדר,338,Ganne Hadar
גני טל,867,Ganne Tal                                         
גני יוחנן,622,Ganne Yohanan
גני מודיעין,2603,Ganne Modi'in
גני עם,242,Ganne Am
גני תקווה,20398,Ganne Tiqwa
געש,820,Ga'ash
געתון,691,Ga'ton
גפן,411,Gefen
גרופית,249,Gerofit
גשור,280,Geshur
גשר,427,Gesher
גשר הזיו,1614,Gesher HaZiw
גת (קיבוץ),869,Gat(Qibbuz)
גת רימון,326,Gat Rimmon
דאלית אל-כרמל,17652,Daliyat Al-Karmel
דבורה,216,Devora
דבורייה,10510,Daburiyya
דבירה,1007,Devira
דברת,494,Daverat
דגניה א',528,Deganya Alef
דגניה ב',675,Deganya Bet
"דוב""ב",482,Dovev
דולב,1448,Dolev
דור,443,Dor
דורות,843,Dorot
דחי,703,Dahi
דייר אל-אסד,12514,Deir Al-Asad
דייר חנא,10338,Deir Hanna
דייר ראפאת,96,Deir Rafat
דימונה,34499,Dimona
דישון,332,Dishon
דלייה,816,Daliyya
דלתון,862,Dalton 
דמיידה,515,Demeide
דן,745,Dan
דפנה,962,Dafna
דקל,351,Deqel
דריג'את,1243,Derig'at
האון,181,HaOn
הבונים,368,HaBonim
הגושרים,820,HaGosherim
הדר עם,675,Hadar Am 
הוד השרון,63175,Hod HaSharon
הודיות,324,Hodayot
הודייה,548,Hodiyya
הושעיה,2051,Hosha'aya
הזורע,914,HaZorea
הזורעים,1059,HaZore'im
החותרים,859,HaHoterim
היוגב,711,HaYogev
הילה,588,Hilla
המעפיל,868,HaMa'pil
הסוללים,933,HaSolelim 
העוגן,922,HaOgen
הר אדר,4088,Har Adar
הר גילה,1635,Har Gillo
הר עמשא,198,Har Amasa
הראל,264,Har'el
הרדוף,1094,Harduf
הרצלייה,97470,Herzliyya
הררית,543,Hararit
ורד יריחו,341,Wered Yeriho
ורדון,276,Wardon
זבדיאל,559,Zavdi'el
זוהר,350,Zohar
זיקים,852,Ziqim
זיתן,1064,Zetan
זכרון יעקב,23206,Zikhron Ya'aqov
זכריה,1124,Zekharya
זמר,7094,Zemer
זמרת,624,Zimrat
זנוח,525,Zanoah
זרועה,468,Zeru'a
זרזיר,8119,Zarzir
זרחיה,729,Zerahya
ח'ואלד,710,Khawaled
חבצלת השרון,482,Havazzelet HaSharon
חבר,617,Hever
חגור,1162,Hagor
חגי,667,Haggay
חגלה,865,Hogla
חד-נס,810,Had-Nes
חדיד,875,Hadid
חדרה,97334,Hadera
חולדה,1162,Hulda
חולון,196283,Holon
חולית,169,Holit
חולתה,700,Hulata
חוסן,1135,Hosen
חוסנייה,773,Hussniyya
חופית,774,Hofit
חוקוק,612,Huqoq
חורה,22337,Hura
חורפיש,6410,Hurfeish
חורשים,335,Horeshim
חזון,306,Hazon
חיבת ציון,726,Hibbat Ziyyon
חיננית,1411,Hinnanit
חיפה,285317,Haifa
חירות,1298,Herut
חלוץ,536,Haluz
חלץ,455,Helez
"חמ""ד",1316,Hemed
חמאם,1504,Hamam
חמדיה,381,Hamadya
חמדת,296,Hemdat
חמרה,173,Hamra
חניאל,923,Hanni'el
חניתה,755,Hanita
חנתון,984,Hannaton
חספין,2055,Haspin
חפץ חיים,558,Hafez Hayyim
חפצי-בה,732,Hefzi-Bah
חצב,1486,Hazav
חצבה,620,Hazeva
חצור-אשדוד,653,Hazor-Ashdod
חצור הגלילית,9271,Hazor HaGelilit
חצרים,852,Hazerim
חרב לאת,972,Herev Le'Et
חרוצים,846,Haruzim
חריש,13232,Harish
חרמש,224,Hermesh
חרשים,333,Harashim
חשמונאים,2771,Hashmona'im
טבריה,44779,Tiberias
טובא-זנגרייה,6776,Tuba-Zangariyye
טורעאן,14240,Tur'an
טייבה,43957,Tayibe
טייבה (בעמק),1865,Tayibe(Baemeq)
טירה,26552,Tire
טירת יהודה,1201,Tirat Yehuda
טירת כרמל,23112,Tirat Karmel
טירת צבי,901,Tirat Zevi
טל-אל,1186,Tal-El
טל שחר,1369,Tal Shahar
טללים,543,Telalim
טלמון,4575,Talmon
טמרה,34393,Tamra
טמרה (יזרעאל),1601,Tamra (Yizre'el)
טנא,872,Tene
טפחות,478,Tefahot
יאנוח-ג'ת,6679,Yanuh-Jat
יבול,338,Yevul
יבנאל,4243,Yavne'el
יבנה,47585,Yavne
יגור,1617,Yagur
יגל,918,Yagel
יד בנימין,4268,Yad Binyamin
יד השמונה,299,Yad HaShemona
יד חנה,968,Yad Hanna
יד מרדכי,737,Yad Mordekhay
יד נתן,666,Yad Natan
"יד רמב""ם",1125,Yad Rambam             
ידידה,208,Yedida
יהוד,29929,Yehud
יהל,218,Yahel
יובל,637,Yuval
יובלים,1093,Yuvallim
יודפת,907,Yodefat
יונתן,745,Yonatan
יושיביה,683,Yoshivya
יזרעאל,553,Yizre'el 
יחיעם,728,Yehi'am
יטבתה,717,Yotvata
"ייט""ב",359,Yitav
יכיני,734,Yakhini
ינוב,936,Yanuv
ינון,1196,Yinnon
יסוד המעלה,1730,Yesud HaMa'ala
יסודות,924,Yesodot
יסעור,867,Yas'ur
יעד,690,Ya'ad
יעף,300,Ye'af
יערה,752,Ya'ara
יפיע,19151,Yafi
יפית,203,Yafit
יפעת,1208,Yif'at
יפתח,569,Yiftah
יצהר,1726,Yizhar
יציץ,822,Yaziz
יקום,771,Yaqum
יקיר,2288,Yaqir
יקנעם (מושבה),1401,Yoqne'am(Moshava)
יקנעם עילית,23797,Yoqne'am Illit
יראון,404,Yir'on
ירדנה,371,Yardena
ירוחם,10294,Yeroham
ירושלים,936425,Jerusalem
ירחיב,1082,Yarhiv
ירכא,17170,Yirka
ירקונה,360,Yarqona
ישע,414,Yesha
ישעי,771,Yish'i
ישרש,1000,Yashresh
יתד,508,Yated
כאבול,14096,Kabul
כאוכב אבו אל-היג'א,3589,Kaokab Abu Al-Hija
כברי,1054,Kabri
כדורי,248,Kadoorie
כדיתה,180,Kaddita
כוכב השחר,2227,Kokhav HaShahar
כוכב יאיר,8703,Kokhav Ya'ir
כוכב יעקב,8542,Kokhav Ya'aqov
כוכב מיכאל,1051,Kokhav Mikha'el 
כורזים,349,Korazim 
כחל,442,Kahal
כחלה,429,Kochlea
כיסופים,280,Kissufim 
כישור,188,Kishor
כליל,748,Kelil
כלנית,239,Kallanit
כמאנה,1534,Kamane
כמהין,188,Kemehin
כמון,1402,Kammon
כנות,439,Kannot
כנף,461,Kanaf
כנרת (מושבה),685,Kinneret(Moshava)
כנרת (קבוצה),690,Kinneret(Qevuza)
כסיפה,21866,Kuseife
כסלון,427,Kesalon
כסרא-סמיע,8818,Kisra-Sumei
כעביה-טבאש-חג'אג'רה,5504,Ka'abiyye-Tabbash-Hajajre
כפר אביב,821,Kefar Aviv
כפר אדומים,4674,Kefar Adummim
כפר אוריה,947,Kefar Uriyya
כפר אחים,877,Kefar Ahim
כפר ביאליק,856,Kefar Bialik
"כפר ביל""ו",1259,Kefar Bilu
כפר בלום,765,Kefar Blum
כפר בן נון,749,Kefar Bin Nun
כפר ברא,3678,Kafar Bara
כפר ברוך,601,Kefar Barukh
כפר גדעון,346,Kefar Gid'on
כפר גלים,390,Kefar Gallim
כפר גליקסון,338,Kefar Glikson
כפר גלעדי,673,Kefar Gil'adi
כפר דניאל,708,Kefar Daniyyel
כפר האורנים,2658,Kefar HaOranim
כפר החורש,699,Kefar HaHoresh
כפר המכבי,386,Kefar HaMakkabbi
כפר הנגיד,1260,Kefar HaNagid
כפר הנוער הדתי,222,Kefar HaNo'ar Hadati
כפר הנשיא,876,Kefar HaNasi
כפר הס,1593,Kefar Hess
"כפר הרא""ה",1460,Kefar HaRo'e
"כפר הרי""ף",836,Kefar Harif
כפר ויתקין,1973,Kefar Vitkin
כפר ורבורג,1143,Kefar Warburg
כפר ורדים,5487,Kefar Weradim
כפר זוהרים,160,Kefar Zoharim                                     
כפר זיתים,768,Kefar Zetim
"כפר חב""ד",6597,Kefar Habad
כפר חושן,775,Kefar Hoshen
כפר חיטים,618,Kefar Hittim
כפר חיים,648,Kefar Hayyim
כפר חנניה,751,Kefar Hananya
כפר חסידים א',842,Kefar Hasidim Alef
כפר חסידים ב',301,Kefar Hasidim Bet
כפר חרוב,434,Kefar Haruv
כפר טרומן,893,Kefar Truman
כפר יאסיף,10133,Kafar Yasif
כפר ידידיה,730,Kefar Yedidya
כפר יהושע,1224,Kefar Yehoshua
כפר יונה,24779,Kefar Yona
כפר יחזקאל,1213,Kefar Yehezqel
כפר יעבץ,659,Kefar Ya'bez
כפר כמא,3372,Kafar Kama
כפר כנא,22751,Kafar Kanna
כפר מונש,943,Kefar Monash
כפר מימון,375,Kefar Maymon
"כפר מל""ל",325,Kefar Malal
כפר מנדא,20188,Kafar Manda
כפר מנחם,1365,Kefar Menahem
כפר מסריק,868,Kefar Masaryk
כפר מצר,2750,Kafar Misr
כפר מרדכי,644,Kefar Mordekhay
כפר נטר,1192,Kefar Netter
כפר סאלד,675,Kefar Szold
כפר סבא,101431,Kefar Sava
כפר סילבר,290,Kefar Silver
כפר סירקין,1502,Kefar Sirkin
כפר עבודה,229,Kefar Avoda
כפר עזה,720,Kefar Azza
כפר עציון,1156,Kefar Ezyon
כפר פינס,1034,Kefar Pines
כפר קאסם,23823,Kafar Qasem
כפר קיש,619,Kefar Kisch
כפר קרע,19018,Kafar Qara
כפר ראש הנקרה,1362,Kefar Rosh HaNiqra
כפר רוזנואלד (זרעית),243,Kefar Rozenwald(Zarit)
כפר רופין,531,Kefar Ruppin
כפר רות,264,Kefar Rut
כפר שמאי,559,Kefar Shammay
כפר שמואל,956,Kefar Shemu'el
כפר שמריהו,1938,Kefar Shemaryahu
כפר תבור,4310,Kefar Tavor
כפר תפוח,1312,Kefar Tappuah
כרכום,528,Karkom
כרם בן זמרה,526,Kerem Ben Zimra
כרם בן שמן,85,Kerem Ben Shemen 
כרם יבנה (ישיבה),534,Kerem Yavne(Yeshiva)
"כרם מהר""ל",778,Kerem Maharal 
כרם שלום,183,Kerem Shalom
כרמי יוסף,1742,Karme Yosef
כרמי צור,1001,Karme Zur
כרמי קטיף,508,Karme Katif
כרמיאל,46252,Karmi'el
כרמייה,650,Karmiyya
כרמים,489,Keramim
כרמל,437,Karmel
לבון,717,Lavon
לביא,627,Lavi
לבנים,427,Livnim
להב,567,Lahav 
להבות הבשן,916,Lahavot HaBashan 
להבות חביבה,1021,Lahavot Haviva
להבים,6414,Lehavim 
לוד,77222,Lod
לוזית,816,Luzit
לוחמי הגיטאות,706,Lohame HaGeta'ot 
לוטם,782,Lotem
לוטן,178,Lotan
לימן,693,Liman 
לכיש,770,Lakhish
לפיד,2394,Lappid
לפידות,128,Lappidot
לקיה,14074,Laqye
מאור,1399,Ma'or
מאיר שפיה,297,Me'ir Shefeya
מבוא ביתר,965,Mevo Betar
מבוא דותן,448,Mevo Dotan
מבוא חורון,2669,Mevo Horon 
מבוא חמה,459,Mevo Hamma
מבוא מודיעים,255,Mevo Modi'im
מבואות ים,436,Mevo'ot Yam 
מבועים,1235,Mabbu'im 
מבטחים,439,Mivtahim 
מבקיעים,484,Mavqi'im
מבשרת ציון,24052,Mevasseret Ziyyon
מג'ד אל-כרום,15456,Majd al-Kurum
מג'דל שמס,11180,Majdal Shams
מגאר,22956,Mughar
מגדים,1329,Megadim
מגדל,1952,Migdal 
מגדל העמק,25674,Migdal HaEmeq
מגדל עוז,574,Migdal Oz
מגדלים,448,Migdalim 
מגידו,848,Megiddo
מגל,1139,Maggal 
מגן,532,Magen 
מגן שאול,676,Magen Sha'ul 
מגשימים,1088,Magshimim
מדרך עוז,794,Midrakh Oz
מדרשת בן גוריון,1972,Midreshet Ben Gurion
מדרשת רופין,307,Midreshet Ruppin 
מודיעין-מכבים-רעות,93277,Modi'in-Makkabbim-Re'ut
מודיעין עילית,76374,Modi'in Illit
מולדת,1069,Moledet
מוצא עילית,1212,Moza Illit
מוקייבלה,4081,Muqeible
מורן,452,Moran 
מורשת,1489,Moreshet
מזור,1331,Mazor
מזכרת בתיה,14837,Mazkeret Batya
מזרע,756,Mizra
מזרעה,3928,Mazra'a
מחולה,609,Mehola
מחנה יתיר,267,Mahane Yattir
מחניים,818,Mahanayim 
מחסיה,477,Mahseya
מטולה,1615,Metula
מטע,896,Matta
מי עמי,365,Me Ammi
מיטב,471,Metav
מייסר,2017,Meiser
מיצר,299,Mezar
מירב,723,Merav
מירון,985,Meron
מישר,796,Meshar
מיתר,9419,Metar
מכורה,166,Mekhora
מכחול,839,Makchul
מכמורת,1404,Mikhmoret
מכמנים,557,Mikhmannim
מלאה,382,Mele'a
מלילות,360,Melilot
מלכייה,462,Malkiyya
מלכישוע,214,Malkishua
מנוחה,618,Menuha
מנוף,862,Manof
מנות,459,Manot
מנחמיה,1033,Menahemya
מנרה,248,Menara
מנשית זבדה,1389,Manshiyyet Zabda
מסד,347,Massad
מסדה,360,Massada
מסילות,432,Mesillot 
מסילת ציון,1216,Mesillat Ziyyon
מסלול,858,Maslul
מסעדה,3714,Mas'ade
מעברות,986,Ma'barot
מעגלים,2061,Ma'galim 
מעגן,381,Ma'agan
מעגן מיכאל,2039,Ma'agan Mikha'el
מעוז חיים,470,Ma'oz Hayyim 
מעון,595,Ma'on
מעונה,963,Me'ona
מעיין ברוך,767,Ma'yan Barukh
מעיין צבי,749,Ma'yan Zevi
מעיליא,3245,Mi'elya
מעלה אדומים,38154,Ma'ale Adummim 
מעלה אפרים,1261,Ma'ale Efrayim
מעלה גלבוע,840,Ma'ale Gilboa
מעלה גמלא,557,Ma'ale Gamla
מעלה החמישה,794,Ma'ale HaHamisha
מעלה לבונה,906,Ma'ale Levona
מעלה מכמש,1529,Ma'ale Mikhmas
מעלה עירון,15065,Ma'ale Iron 
מעלה עמוס,663,Ma'ale Amos
מעלה שומרון,995,Ma'ale Shomeron
מעלות-תרשיחא,21836,Ma'alot-Tarshiha
מענית,812,Ma'anit
מעש,863,Ma'as
מפלסים,1023,Mefallesim
מצדות יהודה,550,Mezadot Yehuda
מצובה,1165,Mazzuva
מצליח,1363,Mazliah
מצפה,141,Mizpa
"מצפה אבי""ב",1070,Mizpe Aviv
מצפה אילן,626,Mitspe Ilan
מצפה יריחו,2560,Mizpe Yeriho
מצפה נטופה,1029,Mizpe Netofa
מצפה רמון,5212,Mizpe Ramon
מצפה שלם,207,Mizpe Shalem
מצר,384,Mezer
מקווה ישראל,388,Miqwe Yisra'el
מרגליות,411,Margaliyyot
מרום גולן,743,Merom Golan 
מרחב עם,501,Merhav Am
מרחביה (מושב),661,Merhavya(Moshav)
מרחביה (קיבוץ),1248,Merhavya(Qibbuz)
מרכז שפירא,2230,Merkaz Shappira
משאבי שדה,481,Mash'abbe Sade
משגב דב,721,Misgav Dov
משגב עם,339,Misgav Am
משהד,8373,Meshhed
משואה,184,Massu'a
משואות יצחק,697,Massu'ot Yizhaq
משכיות,310,Maskiyyot
משמר איילון,556,Mishmar Ayyalon
משמר דוד,949,Mishmar Dawid
משמר הירדן,810,Mishmar HaYarden 
משמר הנגב,1005,Mishmar HaNegev
משמר העמק,1271,Mishmar HaEmeq
משמר השבעה,1047,Mishmar HaShiv'a
משמר השרון,618,Mishmar HaSharon
משמרות,1024,Mishmarot
משמרת,1059,Mishmeret
משען,1063,Mash'en 
מתן,3617,Mattan
מתת,190,Mattat
מתתיהו,891,Mattityahu
נאות גולן,632,Ne'ot Golan 
נאות הכיכר,447,Ne'ot HaKikkar
נאות מרדכי,620,Ne'ot Mordekhay
נאות סמדר,226,Ne'ot Smadar
נאעורה,2323,Na'ura
נבטים,996,Nevatim 
נגבה,968,Negba
נגוהות,352,Negohot
נהורה,1182,Nehora
נהלל,930,Nahalal
נהרייה,58096,Nahariyya
נוב,965,Nov
נוגה,583,Nogah
נווה,1267,Nave
נווה אבות,254,Newe Avot
נווה אור,349,Newe Ur
"נווה אטי""ב",110,Newe Ativ
נווה אילן,996,Newe Ilan
נווה איתן,311,Newe Etan
נווה דניאל,2322,Newe Daniyyel
נווה זוהר,55,Newe Zohar
נווה זיו,951,Newe Ziv
נווה חריף,114,Newe Harif
נווה ים,232,Newe Yam
נווה ימין,1154,Newe Yamin
נווה ירק,1348,Newe Yaraq
נווה מבטח,677,Newe Mivtah
נווה מיכאל,848,Newe Mikha'el
נווה צוף,1485,Neve Tsuf
נווה שלום,324,Newe Shalom
נועם,356,No'am
נוף איילון,2128,Nof Ayyalon
נוף הגליל,41735,Nof HaGalil
נופים,865,Nofim
נופית,2688,Nofit
נופך,588,Nofekh
נוקדים,2383,Noqedim
נורדייה,1950,Nordiyya
נורית,193,Nurit
נחושה,1484,Nehusha
נחל עוז,422,Nahal Oz
נחלה,717,Nahala
נחליאל,725,Nahali'el
נחלים,1788,Nehalim
נחם,570,Naham
נחף,13113,Nahef
נחשולים,687,Nahsholim
נחשון,589,Nahshon
נחשונים,405,Nahshonim 
נטועה,306,Netu'a
נטור,713,Natur
נטע,613,Neta
נטעים,636,Neta'im 
נטף,448,Nataf
ניין,1876,Nein
"ניל""י",1786,Nili
ניצן,2461,Nizzan
ניצן ב',498,Nizzan B
ניצנה (קהילת חינוך),318,Nizzana (Qehilat Hinuh)
ניצני סיני,286,Nizzane Sinay
ניצני עוז,1114,Nizzane Oz
ניצנים,421,Nizzanim
ניר אליהו,554,Nir Eliyyahu
ניר בנים,726,Nir Banim
ניר גלים,1396,Nir Gallim
ניר דוד (תל עמל),729,Nir Dawid (Tel Amal)
"ניר ח""ן",548,Nir Hen
ניר יפה,724,Nir Yafe
ניר יצחק,630,Nir Yizhaq
ניר ישראל,877,Nir Yisra'el
ניר משה,592,Nir Moshe
ניר עוז,387,Nir Oz
